X1,datotid_senest_aendret_i_sfien_,overskrift_,token_length_mean_mean,token_length_mean_std,token_length_mean_count,token_length_mean_se,token_length_median_mean,token_length_median_std,token_length_median_count,token_length_median_se,token_length_std_mean,token_length_std_std,token_length_std_count,token_length_std_se,sentence_length_mean_mean,sentence_length_mean_std,sentence_length_mean_count,sentence_length_mean_se,sentence_length_median_mean,sentence_length_median_std,sentence_length_median_count,sentence_length_median_se,sentence_length_std_mean,sentence_length_std_std,sentence_length_std_count,sentence_length_std_se,syllables_per_token_mean_mean,syllables_per_token_mean_std,syllables_per_token_mean_count,syllables_per_token_mean_se,syllables_per_token_median_mean,syllables_per_token_median_std,syllables_per_token_median_count,syllables_per_token_median_se,syllables_per_token_std_mean,syllables_per_token_std_std,syllables_per_token_std_count,syllables_per_token_std_se,n_tokens_mean,n_tokens_std,n_tokens_count,n_tokens_se,n_unique_tokens_mean,n_unique_tokens_std,n_unique_tokens_count,n_unique_tokens_se,proportion_unique_tokens_mean,proportion_unique_tokens_std,proportion_unique_tokens_count,proportion_unique_tokens_se,n_characters_mean,n_characters_std,n_characters_count,n_characters_se,n_sentences_mean,n_sentences_std,n_sentences_count,n_sentences_se,flesch_reading_ease_mean,flesch_reading_ease_std,flesch_reading_ease_count,flesch_reading_ease_se,flesch_kincaid_grade_mean,flesch_kincaid_grade_std,flesch_kincaid_grade_count,flesch_kincaid_grade_se,gunning_fog_mean,gunning_fog_std,gunning_fog_count,gunning_fog_se,automated_readability_index_mean,automated_readability_index_std,automated_readability_index_count,automated_readability_index_se,coleman_liau_index_mean,coleman_liau_index_std,coleman_liau_index_count,coleman_liau_index_se,lix_mean,lix_std,lix_count,lix_se,rix_mean,rix_std,rix_count,rix_se,dependency_distance_mean_mean,dependency_distance_mean_std,dependency_distance_mean_count,dependency_distance_mean_se,dependency_distance_std_mean,dependency_distance_std_std,dependency_distance_std_count,dependency_distance_std_se,prop_adjacent_dependency_relation_mean_mean,prop_adjacent_dependency_relation_mean_std,prop_adjacent_dependency_relation_mean_count,prop_adjacent_dependency_relation_mean_se,prop_adjacent_dependency_relation_std_mean,prop_adjacent_dependency_relation_std_std,prop_adjacent_dependency_relation_std_count,prop_adjacent_dependency_relation_std_se,dw_ek_borger_mean,dw_ek_borger_std,dw_ek_borger_count,dw_ek_borger_se,dw_sk_kontakt_mean,dw_sk_kontakt_std,dw_sk_kontakt_count,dw_sk_kontakt_se,dw_sk_lpr3kontakt_mean,dw_sk_lpr3kontakt_std,dw_sk_lpr3kontakt_count,dw_sk_lpr3kontakt_se,afdeling_resultat_udfoert_mean,afdeling_resultat_udfoert_std,afdeling_resultat_udfoert_count,afdeling_resultat_udfoert_se,quarter,date
0,2,"Aktuelt socialt, Psykiatri",4.816062159829712,0.5461811281171611,31,0.09809702647680739,3.6451612903225805,0.721035694760169,31,0.12950183372948562,3.0600783338416226,0.46980952991316394,31,0.08438028251511094,13.634006853361692,5.685738132598366,31,1.0211887145504808,12.258064516129032,5.615263377233425,31,1.0085310748278973,7.341515959412728,4.964351028454727,31,0.891623765832542,1.784578988597297,0.1692907159056786,31,0.03040551016056835,1.1935483870967742,0.3802941702340156,31,0.06830284930390215,1.0787660049870444,0.17875888823841307,31,0.032106044112030684,79.7741935483871,67.34325488491497,31,12.095205633071238,56.645161290322584,40.40177255772885,31,7.256372562647956,0.7924424227353462,0.11749757158199536,31,0.021103186831396874,386.1290322580645,320.343122493729,31,57.53532326768635,6.032258064516129,4.7292273573861365,31,0.8493943078766236,42.02110060850659,13.967909944421596,31,2.5087106842506333,10.785294738259163,2.5662822600890656,31,0.46091790040925107,14.138529473622532,2.826735290042707,31,0.5076966455178636,8.07065619947879,3.169800627654932,31,0.5693129990946246,9.867079350379205,3.0854557439249013,31,0.5541642107778793,39.56471386345195,7.824400948482218,31,1.4053038955307326,3.3919650242230888,1.4905788906647435,31,0.26771587185257634,2.3552976765386573,0.586723801934113,31,0.10537870565267403,0.7309793572087212,0.49115103279052186,31,0.08821332958510411,0.3712511515048513,0.062441058068834765,31,0.011214745093324457,0.08896671195481752,0.06215341229051872,31,0.011163082386433279,2819800.5161290322,2115452.6125909933,31,379946.5054077354,2071120.2333333334,1336165.907485183,30,239982.48137175606,-1,0,31,0,660001,0,31,0,2,2011-04-01T00:00:00Z
1,2,"Aktuelt somatisk, Psykiatri",4.809256545744934,0.6990629465515819,35,0.1181632047202246,4.042857142857143,0.9879526406503842,35,0.16699447554318908,2.9699468511987464,0.6874862437373426,35,0.1162063847923882,9.738246118960404,4.274220675078966,35,0.7224751578383161,9.528571428571428,4.921356306869039,35,0.8318610443570774,3.892181800741888,2.5563577508127016,35,0.4321033259415152,1.7584787413530056,0.2623475244232704,35,0.04434482529676409,1.3428571428571427,0.5254050058460303,35,0.08880965522928674,1.0308499729620066,0.24179629098301605,35,0.04087103282037409,44.48571428571429,35.404695126138144,35,5.984485744644325,36.457142857142856,24.936794049736854,35,4.215087518084772,0.8821014304170488,0.09320057000889352,35,0.01575377165722787,217.97142857142856,173.155062387018,35,29.268547540834,4.9714285714285715,4.211229485733662,35,0.7118277035011975,48.18337867079093,21.973114030999966,35,3.7141341625868973,8.957965134360025,3.2907608726230304,35,0.5562401105582959,11.169838541681218,3.8439821861240566,35,0.6497515799406741,6.090721389938844,3.5544502924929127,35,0.6008117575842812,8.652299146915428,4.207598586149631,35,0.7112139694548103,33.33079232963591,11.129402633415157,35,1.881212397643516,2.292586778301064,1.3348132356211393,35,0.22562461707062875,2.155605355568595,0.6259105737919037,35,0.10579819690395893,0.5497966834664192,0.3477155670590212,35,0.058774658187054116,0.39006654989931816,0.07318145284869987,35,0.0123699232484586,0.07596160378647093,0.06744564812134468,35,0.011400395294535367,3638412.4857142856,1990488.947562373,35,336454.0406044853,2179091.4571428574,1314531.7697762048,35,222196.4236404333,-1,0,35,0,660002.1428571428,3.2280285109222926,35,0.5456364060755605,2,2011-04-01T00:00:00Z
2,2,Journalnotat,5.701324813628843,1.088302187510091,13,0.3018407184820967,4.846153846153846,1.6122527637932502,13,0.44715846222039196,3.5158459822423223,0.8098601336029949,13,0.2246147875122858,10.3246336996337,5.751005642296537,13,1.5950419791371448,9.423076923076923,5.61191498007496,13,1.5564651703234418,4.233246548031994,4.151365711549312,13,1.151381687399546,2.0205445583463932,0.40703016418404525,13,0.11288985597123857,1.4615384615384615,0.7205766921228921,13,0.19985201625794738,1.2105214925162153,0.250610862410068,13,0.06950694727751931,38.30769230769231,39.32426014431086,13,10.906587409230596,29.307692307692307,25.74032056063216,13,7.13908043294148,0.8716708522758927,0.12465226339870895,13,0.034572317483591415,203.92307692307693,198.86614490592308,13,55.155544800935196,3.5384615384615383,2.6650636207348044,13,0.7391556566871578,25.417427158766937,32.28161485631799,13,8.95330904763343,12.279032931344585,4.309777748783236,13,1.1953172814685937,17.13624847055448,5.16848251790221,13,1.433479133433511,10.585556722008697,4.483555205394972,13,1.2435144761096193,13.290760082860604,5.8514315262879855,13,1.6228951079152185,46.94636522718319,12.802389558281336,13,3.550744000065242,3.4409340659340657,1.9443013920366772,13,0.5392521818418655,2.0742803872751887,0.7728526475133795,13,0.21435075761442973,0.5387549359119295,0.5148176581152976,13,0.14278472798838424,0.35441520881421984,0.09594174529524772,13,0.026609452470732434,0.06740504332531855,0.07431053949519105,13,0.02061003541979256,1974321.8461538462,1186117.9072544351,13,328969.9179501467,2491671.888888889,1539963.4293193007,9,427109.0082115465,-1,0,13,0,660008.6923076923,4.385290096523149,13,1.2162606385262997,2,2011-04-01T00:00:00Z
3,2,Konklusion,5.159301197871615,0.7025102442220047,2,0.4967497575423971,4,0,2,0,3.43264284921121,0.23005219673773308,2,0.16267146834011267,14.285714285714285,4.343655941574507,2,3.071428571428572,14.75,3.8890872965260113,2,2.7499999999999996,7.386845615913234,2.642209036258488,2,1.8683239268507492,1.9181410710073132,0.2508819530324531,2,0.1774003302665724,1.5,0.7071067811865476,2,0.5,1.2309072167904813,0.056496494689192434,2,0.039949054507997794,200,60.81118318204309,2,43,119,8.48528137423857,2,5.999999999999999,0.617074257555503,0.14519867169446177,2,0.10267096537443314,1041.5,177.48380207782344,2,125.5,14,0,2,0,30.060265392781332,16.815802445847385,2,11.890567940552017,12.615493209314867,1.2663812285688851,2,0.8954667542884094,15.66789112436671,2.561782439077034,2,1.811453734595984,10.013165784832452,1.1369952794983866,2,0.8039770723104035,12.364270923435821,3.470223046682024,2,2.4538182485386995,42.952066412788284,8.261605306753749,2,5.8418371358923435,3.821428571428571,0.555583899503716,2,0.39285714285714296,2.5872560668909914,0.23714480301495924,2,0.16768669833502578,0.7291935787638555,0.015524052431357497,2,0.010977162745708424,0.3821537403348707,0.006292170742801579,2,0.004449236600618605,0.081593343805246,0.03152419784522903,2,0.0222909740678278,3003173,896539.2736528612,2,633949,2695836,NA,1,NA,-1,0,2,0,660001,0,2,0,2,2011-04-01T00:00:00Z
4,2,Kontaktårsag,5.692400192675519,1.0273309011125138,17,0.24916434222046271,4.794117647058823,1.6110829386763796,17,0.39074500751724767,3.404601760290759,0.5485469603690134,17,0.13304217989487924,13.197058823529412,7.065441214731287,17,1.7136212011723206,12.441176470588236,6.169183376218586,17,1.49624674611493,3.596508717592397,5.40641763181032,17,1.311248879538567,2.09247754893816,0.3033834913768529,17,0.07358130470678995,1.7058823529411764,0.6859943405700354,17,0.1663780661615406,1.2475082806726037,0.24541856565058948,17,0.059522745215586044,51,70.55848637832307,17,17.112946595384166,36.588235294117645,43.00153896014858,17,10.42940512922386,0.894004198138962,0.14900378665093564,17,0.03613872652816508,263.70588235294116,342.0259063115472,17,82.95346696588936,3.5294117647058822,4.823350068401935,17,1.1698342236089023,16.416384653949308,24.575415326953788,17,5.960413716850214,14.248088018646763,3.8360556017157768,17,0.9303801430362623,18.470641376904258,4.569971418071412,17,1.108380874280127,11.979734319266399,5.200998822550618,17,1.261427500240546,14.673640846587713,6.076348732014327,17,1.473731037657824,53.709710404285985,13.17086720562604,17,3.194404509987051,4.929411764705883,2.3054323634305436,17,0.5591494792436172,2.4329360227687995,0.6282552776241845,17,0.15237428644095652,0.27465099427664186,0.3325168488219702,17,0.08064718176414838,0.39497334730520434,0.05373830977808141,17,0.013033454550423061,0.03205656459099637,0.04067963535540956,17,0.009866260787174367,3477579.705882353,2229585.1367856464,17,540753.8247220247,2015414.4705882352,1388533.2890282157,17,336768.78913821356,-1,0,17,0,660001.5882352941,2.4253562503659767,17,0.5882352941176471,2,2011-04-01T00:00:00Z
5,2,Medicin,4.474078357201311,0.8520204228195941,149,0.06980023273079408,3.6778523489932886,1.0267928050674895,149,0.08411814416705723,2.7470774532070927,0.8078032623436985,149,0.06617782180113745,9.872313869071666,6.823602209878948,149,0.55901127432571,9.563758389261745,6.904338772625207,149,0.5656254712611826,3.370543607355498,3.2761449299744725,149,0.26839225028817054,1.6821288492265671,0.30100137650073255,149,0.024658993574956996,1.1644295302013423,0.37417906999105716,149,0.030653943812680214,0.9484440724212394,0.35238696836634076,149,0.028868665286063973,36.758389261744966,41.12614920873754,149,3.369185419982667,27.013422818791945,24.346592684959298,149,1.9945505883394028,0.8509550960625363,0.14280939922527897,149,0.011699401839549567,165.46979865771812,186.71602071736308,149,15.296372424395832,3.8993288590604025,3.574959773810642,149,0.2928721161277207,54.5065007783247,25.784135899975343,149,2.112318717226074,8.109322829811443,4.24310227709323,149,0.34760848274218004,11.21344622319678,4.755888017785969,149,0.3896175274584292,4.579065996954008,5.036603981514536,149,0.412614675267,5.928202466709561,5.842616857893693,149,0.4786458229349171,32.75571948226794,14.287714448196779,149,1.170495174722389,2.215224541655651,1.728315711479851,149,0.14158913995788705,2.0867177457569093,0.7278168587815137,149,0.05962508030057147,0.5586400787862494,0.47351301746539626,149,0.03879169786889426,0.394364625036015,0.08298916521252962,149,0.0067987373199332604,0.08295805327157675,0.0773629211855768,149,0.0063378174499823265,2829682.6174496645,1867738.846404287,149,153011.1282167801,1819579.062937063,1246947.5958316023,143,102153.92737197243,-1,0,149,0,660002.2080536913,3.270001173197058,149,0.26788893412256726,2,2011-04-01T00:00:00Z
6,2,Objektivt psykisk,5.340652784635988,0.8965804919504684,70,0.10716186545503048,4.735714285714286,1.1663190845730589,70,0.139401793749442,3.0625893153013353,0.6950445101102858,70,0.08307370832446219,8.908953823953825,6.167923825302967,70,0.737207901619734,8.492857142857142,6.302456880687028,70,0.7532876772893538,3.0030702531710367,2.1329935817011334,70,0.25494149523758336,1.9425429049906773,0.3046474710370757,70,0.03641233731448838,1.6285714285714286,0.5085195497767769,70,0.06077971142990492,1.0541745621299314,0.2705144123031937,70,0.03233265648220569,36.98571428571429,37.00626380866629,70,4.423094522869391,29.3,21.669687637777354,70,2.5900230620011326,0.8811623552691434,0.10857937601894205,70,0.012977717660151631,194.37142857142857,175.90158409685992,70,21.024260573980673,4.385714285714286,3.547985168763249,70,0.42406533791999507,33.4532821064756,24.242713101904005,70,2.897558426728141,10.806498270231984,3.5364307350071935,70,0.4226843189410055,13.256190724575454,4.11711488405906,70,0.4920893497343843,8.178951527612412,4.20105415912831,70,0.5021220120353399,11.546147268347513,4.741023986879343,70,0.5666607506658798,40.06480307197132,12.411557653160918,70,1.4834648793461174,2.500875592661307,1.1491846332318658,70,0.13735383510461785,2.1617839527092895,0.5288608739245634,70,0.0632109646872228,0.5647464017974465,0.3736478268998392,70,0.04465945725263131,0.38556604883620055,0.059738569270196405,70,0.00714012470724432,0.0772808373351206,0.05877157717673969,70,0.007024547045734357,3090073.942857143,1883531.0148453012,70,225125.01555117485,1764739.8405797102,1304528.9851126415,69,155921.03647125902,-1,0,70,0,660002,3.02166093110528,70,0.3611575592573076,2,2011-04-01T00:00:00Z
7,2,"Objektivt, somatisk",5.000225244803972,0.9857527649040596,15,0.25452026946342254,4.533333333333333,0.9154754164341269,15,0.23637473611411156,2.9507593753692722,0.945962488463748,15,0.24424646426380142,6.1501473930764545,3.002030420755154,15,0.7751209216261835,5.666666666666667,3.9081721461329626,15,1.0090857090723107,3.114279674177428,2.2252789641387336,15,0.5745645579183338,1.843670870072927,0.3734901798990765,15,0.09643474978140902,1.5333333333333334,0.5163977794943222,15,0.1333333333333333,1.0665700576251882,0.4062976314930474,15,0.10490559735840604,52.266666666666666,45.65470820137153,15,11.787994969324739,42.06666666666667,34.07233202356143,15,8.797438299580204,0.8497141133951394,0.07099900822415503,15,0.01833186509662639,283.46666666666664,255.54419988573034,15,65.9812286918222,8.533333333333333,6.843836295389834,15,1.7670709330809793,44.618044787857805,31.26013640455892,15,8.071332513001925,8.563873750160356,4.377296415726378,15,1.1302130746347787,11.567894398378941,4.123555475676808,15,1.0646974456305787,5.196134599564939,4.765479891055984,15,1.230441616983077,7.785173385638552,6.374940120268176,15,1.6460024612578772,31.015471485979667,11.737707739887975,15,3.030663106615735,1.454177549715307,0.662914373868857,15,0.17116375533037337,1.753686295887852,0.6272564429255353,15,0.16195691715012675,0.669167512762521,0.2781202754396341,15,0.07181034633468816,0.4151858382477222,0.08535703248704857,15,0.0220390910202683,0.09199801404243571,0.06437609293901718,15,0.0166218357231143,3686179.2666666666,1562231.6734870696,15,403366.4836222108,2403467.6666666665,1331324.7623480512,15,343746.57553116995,-1,0,15,0,660004.3333333334,4.87950036474035,15,1.259881576697424,2,2011-04-01T00:00:00Z
8,2,"Observation af patient, Psykiatri",4.385931164264885,0.5458601902435183,267,0.0334061011322261,3.737827715355805,0.7538072290894188,267,0.04613225323856314,2.458551819957686,0.6057627749040714,267,0.03707207977844214,15.223962502336017,9.852698309516091,267,0.6029753443023056,14.642322097378278,10.147797227603386,267,0.6210351048011192,5.96533452843136,5.928124113964093,267,0.3627953040267057,1.6312860125614537,0.19542975238299873,267,0.01196010661528523,1.1779026217228465,0.3719468465348726,267,0.022762777343431795,0.8574307845692078,0.22447611432685535,267,0.013737715098121902,75.43445692883896,91.7825069536275,267,5.616998206251831,50.2059925093633,39.895147839025334,267,2.441543397405535,0.7943071262305262,0.14133049263504568,267,0.008649285686005807,334.6179775280899,411.6567984080834,267,25.19298693178905,5.367041198501872,7.425324975179073,267,0.4544225087193409,53.37588139742999,17.51711606872359,267,1.0720300937785254,9.5965203241362,4.064303161652447,267,0.24873131412938754,11.491862691435193,4.698291467088485,267,0.2875307683240535,6.8397170348556156,5.003231831661514,267,0.3061928155667365,7.349084066638376,3.0447048220428488,267,0.18633290908714986,31.967184310598874,11.910040659369493,267,0.7288826513952698,2.4186191009400377,1.8669398752162358,267,0.11425486487929438,2.5097225892669313,0.6051880580050727,267,0.03703690767541373,0.5647518176645558,0.45589867096771475,267,0.02790054556204337,0.38876376046164146,0.05777461526461298,267,0.0035357490340962488,0.06388487166298307,0.05284114157627338,267,0.0032338253475707197,2313611.838951311,2140945.150364951,267,131023.71539447467,1672997.426966292,1113115.5989414856,267,68121.56836993154,-1,0,267,0,660001.786516854,2.6969987919415725,267,0.16505364561742003,2,2011-04-01T00:00:00Z
9,2,Ordination,4.741629410208595,1.6816200967835118,9,0.5605400322611706,4.222222222222222,2.670570059827011,9,0.890190019942337,3.1187586267785896,1.071742294207619,9,0.35724743140253973,11.414197530864197,5.244045058291186,9,1.7480150194303954,10.38888888888889,4.998610918156274,9,1.6662036393854247,4.651146793977119,4.117318722189338,9,1.3724395740631126,1.712819605412218,0.3640321828784561,9,0.1213440609594854,1,0,9,0,1.0054888245744633,0.3872471052318268,9,0.12908236841060894,47.111111111111114,42.3510461631246,9,14.117015387708202,37.77777777777778,30.748080337550252,9,10.24936011251675,0.8646774882014078,0.09787606718938574,9,0.03262535572979525,221.11111111111111,212.04212107765548,9,70.68070702588517,3.888888888888889,2.5221243250702594,9,0.8407081083567531,50.34505088829921,28.47264359849542,9,9.490881199498473,9.072808380901211,3.7057765876021422,9,1.235258862534047,12.306153729354225,3.8490847683876432,9,1.2830282561292143,6.610173287514581,6.883888267246515,9,2.294629422415505,8.236341915425697,7.569703681868208,9,2.5232345606227358,35.59468623781981,14.961671289677254,9,4.987223763225751,2.335185185185185,1.6067229512194405,9,0.535574317073147,2.069349274550624,0.6615347463934683,9,0.2205115821311561,0.6385380266163478,0.49364629963114226,9,0.16454876654371406,0.4138059756318242,0.0768290566557247,9,0.02560968555190823,0.08133885079048435,0.06302837619809533,9,0.021009458732698442,1672038.2222222222,1792270.3395998732,9,597423.446533291,1552827.75,1237251.9077975939,8,412417.30259919795,-1,0,9,0,660001,0,9,0,2,2011-04-01T00:00:00Z
